brand,km_driven,fuel,owner,purchased
Maruti,145500,Diesel,First Owner,No
Skoda,120000,Diesel,Second Owner,No
Honda,140000,Petrol,Third Owner,No
Hyundai,127000,Diesel,First Owner,No
Maruti,120000,Petrol,First Owner,No
Hyundai,45000,Petrol,First Owner,Yes
Maruti,175000,LPG,First Owner,No
Maruti,5000,Petrol,Second Owner,Yes
Toyota,90000,Diesel,First Owner,No
Ford,169000,Diesel,First Owner,Yes
Renault,68000,Diesel,Second Owner,Yes
Maruti,100000,Petrol,Second Owner,Yes
Maruti,140000,Diesel,Second Owner,No
Maruti,80000,Petrol,Second Owner,No
Maruti,90000,Petrol,Second Owner,Yes
Mahindra,40000,Petrol,First Owner,No
Maruti,70000,Diesel,Second Owner,Yes
Hyundai,53000,Diesel,Second Owner,Yes
Maruti,80000,Petrol,Second Owner,No
Hyundai,100000,Diesel,First Owner,Yes
Mahindra,100000,Diesel,Second Owner,Yes
Honda,50000,Diesel,First Owner,No
Maruti,40000,Diesel,First Owner,Yes
Maruti,72000,Diesel,First Owner,No
Tata,35000,Petrol,First Owner,Yes
Maruti,45000,Petrol,First Owner,No
Maruti,28000,Petrol,First Owner,No
Chevrolet,70000,Diesel,First Owner,No
Maruti,120000,Petrol,First Owner,No
Maruti,25000,Petrol,First Owner,Yes
Maruti,70000,Diesel,First Owner,No
Fiat,50000,Petrol,Second Owner,Yes
Maruti,35000,Petrol,Second Owner,Yes
Hyundai,2388,Petrol,First Owner,Yes
Maruti,16200,Diesel,First Owner,No
Maruti,10000,CNG,Second Owner,Yes
Maruti,15000,Petrol,First Owner,Yes
Hyundai,5000,Petrol,First Owner,Yes
Datsun,42000,Petrol,First Owner,No
Tata,60000,Diesel,Second Owner,No
Maruti,76000,Petrol,First Owner,No
Jeep,5000,Petrol,First Owner,Yes
Honda,28900,Petrol,First Owner,Yes
Honda,86300,Petrol,First Owner,No
Maruti,23300,Petrol,First Owner,No
Maruti,32600,Diesel,First Owner,Yes
Maruti,10300,Petrol,First Owner,No
Toyota,77000,Diesel,First Owner,Yes
Toyota,99000,Diesel,First Owner,Yes
Mercedes-Benz,27800,Diesel,Second Owner,No
Honda,49800,Diesel,First Owner,No
Mitsubishi,151000,Diesel,First Owner,No
Honda,54700,Diesel,First Owner,No
Maruti,64000,Petrol,First Owner,No
Honda,63000,Diesel,First Owner,No
Toyota,127700,Diesel,Second Owner,Yes
Toyota,99000,Diesel,First Owner,No
Audi,33900,Diesel,Second Owner,Yes
Toyota,25000,Petrol,First Owner,No
Audi,50000,Diesel,First Owner,Yes
Mercedes-Benz,59000,Diesel,First Owner,Yes
Tata,120000,Diesel,First Owner,Yes
Hyundai,110000,Petrol,Third Owner,No
Hyundai,60000,Diesel,First Owner,No
Maruti,147000,Diesel,Second Owner,Yes
Ford,25000,Petrol,Third Owner,No
Maruti,30000,Petrol,First Owner,Yes
Volkswagen,40000,Diesel,First Owner,Yes
Honda,135000,Diesel,First Owner,No
Maruti,30000,Petrol,First Owner,Yes
Volkswagen,80000,Diesel,First Owner,Yes
Maruti,70000,Diesel,First Owner,No
Maruti,9850,Diesel,First Owner,Yes
Hyundai,60000,Petrol,Second Owner,No
Maruti,70000,Diesel,First Owner,Yes
Toyota,78000,Diesel,Second Owner,No
Maruti,120000,Diesel,Second Owner,No
Maruti,120000,Petrol,Second Owner,No
Tata,70000,Diesel,First Owner,No
Volkswagen,170000,Diesel,First Owner,Yes
Toyota,140000,Diesel,First Owner,No
